TAG, LENGTH, PHI, COLLIMATOR_LENGTH, COLLIMATOR_AREA, MINUTE, HIT_CUT, CENTER, ROI, ROI_THETA, RAW_FILE, MASKED_FILE, MASK_PIXEL_FILE, OUTPUT_DIRECTORY
L20REFO_D45_OLD, 20, 11, 20, 0, 10, 160, 563.5 259.5, 150 10, 45, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFO_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFO_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFO_OLD.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFO_OLD
L20REFO_D90_OLD, 20, 11, 20, 0, 10, 160, 563.5 259.5, 150 10, 90, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFO_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFO_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFO_OLD.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFO_OLD
L20REFO_D135_OLD, 20, 11, 20, 0, 10, 160, 563.5 259.5, 150 10, 135, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFO_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFO_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFO_OLD.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFO_OLD
L20REFX_PED, 20, 11, 20, 0, 10, -1, 563.5 259.5, 10000 10000, 0, /mnt/raw/cluster_size/run/PEDESTAL_250331_211935.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20REFX_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20REFX_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20REFX_PED
L20REFX_D0_PED, 20, 11, 20, 0, 10, -1, 563.5 259.5, 150 10, 0, /mnt/raw/cluster_size/run/PEDESTAL_250331_211935.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20REFX_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20REFX_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20REFX_PED
L20REFX_D45_PED, 20, 11, 20, 0, 10, -1, 563.5 259.5, 150 10, 45, /mnt/raw/cluster_size/run/PEDESTAL_250331_211935.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20REFX_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20REFX_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20REFX_PED
L20REFX_D90_PED, 20, 11, 20, 0, 10, -1, 563.5 259.5, 150 10, 90, /mnt/raw/cluster_size/run/PEDESTAL_250331_211935.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20REFX_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20REFX_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20REFX_PED
L20REFX_D135_PED, 20, 11, 20, 0, 10, -1, 563.5 259.5, 150 10, 135, /mnt/raw/cluster_size/run/PEDESTAL_250331_211935.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20REFX_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20REFX_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20REFX_PED
L20REFO_PED, 20, 11, 20, 0, 10, -1, 563.5 259.5, 10000 10000, 0, /mnt/raw/cluster_size/run/PEDESTAL_20250331_222512.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20REFO_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20REFO_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20REFO_PED
L20REFO_D0_PED, 20, 11, 20, 0, 10, -1, 563.5 259.5, 150 10, 0, /mnt/raw/cluster_size/run/PEDESTAL_20250331_222512.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20REFO_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20REFO_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20REFO_PED
